X	Y	id	T	genotype	slab_lane	replica	time	humidity	ambient_temp	food	rearing_Temp	Age	exp_date	TempEst
62	1152	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.181394099087075
64	1144	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.191410963852338
76	1146	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.24533366993642
74	1144	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.236552501672655
74	1178	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.232351133567565
84	1182	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.276998392787284
76	1200	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.238660908828336
86	1208	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.282813889447457
104	1208	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.36406865752403
100	1204	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.3465063209965
100	1186	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.348730574699196
116	1200	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.41922706010961
118	1202	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.428008228373372
104	1160	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.370000000731217
84	1140	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.282188318093574
118	1148	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.434680989481457
118	1142	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.435422407382358
120	1138	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.44494499354702
142	1138	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.54425637675172
154	1146	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.597437664934905
154	1164	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.59521341123221
162	1162	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.631573780788763
172	1152	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.67795101511058
158	1146	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.615494280063032
144	1194	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.5463647839074
152	1200	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.581736596262754
170	1202	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.662744225039027
174	1192	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.682036536668654
190	1186	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.755004415082063
198	1180	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.791859063239215
218	1176	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.882636417480448
242	1182	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.990234690348316
230	1204	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.93334631266064
272	1194	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	18.124176468007473
260	1184	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	18.07124231912459
288	1154	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	18.20134571452597
310	1154	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	18.30065709773067
330	1190	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	18.386491665965917
460	1158	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	18.977285886434846
578	1152	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	19.510697450615503
912	1184	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	21.01447058500934
1304	1120	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	22.7919273251754
2044	1134	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	26.13067114877686
2256	1102	re17_gfr_3	NA	rif_treated	1	x	13_30	50	24.1	homemade	25'C	7-10	31_07_20	27.091625979372395
