X	Y	id	T	genotype	slab_lane	replica	time	humidity	ambient_temp	food	rearing_Temp	Age	exp_date	TempEst
128	906	re1_3	NA	wMel	1	ff	14_00	60	24.7	homemade	25'C	7-10	03_08_20	17.750319073602036
148	906	re1_3	NA	wMel	1	ff	14_00	60	24.7	homemade	25'C	7-10	03_08_20	17.842967693231067
148	888	re1_3	NA	wMel	1	ff	14_00	60	24.7	homemade	25'C	7-10	03_08_20	17.847572573645934
146	874	re1_3	NA	wMel	1	ff	14_00	60	24.7	homemade	25'C	7-10	03_08_20	17.84188928533904
134	880	re1_3	NA	wMel	1	ff	14_00	60	24.7	homemade	25'C	7-10	03_08_20	17.78476515342333
158	936	re1_3	NA	wMel	1	ff	14_00	60	24.7	homemade	25'C	7-10	03_08_20	17.88161720235414
166	924	re1_3	NA	wMel	1	ff	14_00	60	24.7	homemade	25'C	7-10	03_08_20	17.921746570482327
184	918	re1_3	NA	wMel	1	ff	14_00	60	24.7	homemade	25'C	7-10	03_08_20	18.006665288286747
170	900	re1_3	NA	wMel	1	ff	14_00	60	24.7	homemade	25'C	7-10	03_08_20	17.94641613496129
166	872	re1_3	NA	wMel	1	ff	14_00	60	24.7	homemade	25'C	7-10	03_08_20	17.9350495583475
186	890	re1_3	NA	wMel	1	ff	14_00	60	24.7	homemade	25'C	7-10	03_08_20	18.023093297561665
200	884	re1_3	NA	wMel	1	ff	14_00	60	24.7	homemade	25'C	7-10	03_08_20	18.089482291440277
206	870	re1_3	NA	wMel	1	ff	14_00	60	24.7	homemade	25'C	7-10	03_08_20	18.120858450984993
222	872	re1_3	NA	wMel	1	ff	14_00	60	24.7	homemade	25'C	7-10	03_08_20	18.19446569330879
240	892	re1_3	NA	wMel	1	ff	14_00	60	24.7	homemade	25'C	7-10	03_08_20	18.272732917180623
240	906	re1_3	NA	wMel	1	ff	14_00	60	24.7	homemade	25'C	7-10	03_08_20	18.269151343524612
250	872	re1_3	NA	wMel	1	ff	14_00	60	24.7	homemade	25'C	7-10	03_08_20	18.324173760789435
314	902	re1_3	NA	wMel	1	ff	14_00	60	24.7	homemade	25'C	7-10	03_08_20	18.61297454291089
326	898	re1_3	NA	wMel	1	ff	14_00	60	24.7	homemade	25'C	7-10	03_08_20	18.66958702144717
314	886	re1_3	NA	wMel	1	ff	14_00	60	24.7	homemade	25'C	7-10	03_08_20	18.617067769946328
326	864	re1_3	NA	wMel	1	ff	14_00	60	24.7	homemade	25'C	7-10	03_08_20	18.678285128897475
348	866	re1_3	NA	wMel	1	ff	14_00	60	24.7	homemade	25'C	7-10	03_08_20	18.77968695710998
348	918	re1_3	NA	wMel	1	ff	14_00	60	24.7	homemade	25'C	7-10	03_08_20	18.76638396924481
398	866	re1_3	NA	wMel	1	ff	14_00	60	24.7	homemade	25'C	7-10	03_08_20	19.01130850618256
414	872	re1_3	NA	wMel	1	ff	14_00	60	24.7	homemade	25'C	7-10	03_08_20	19.083892441747498
454	894	re1_3	NA	wMel	1	ff	14_00	60	24.7	homemade	25'C	7-10	03_08_20	19.263561493831833
506	842	re1_3	NA	wMel	1	ff	14_00	60	24.7	homemade	25'C	7-10	03_08_20	19.51775089273249
548	882	re1_3	NA	wMel	1	ff	14_00	60	24.7	homemade	25'C	7-10	03_08_20	19.702079926364863
664	896	re1_3	NA	wMel	1	ff	14_00	60	24.7	homemade	25'C	7-10	03_08_20	20.235860346557242
822	874	re1_3	NA	wMel	1	ff	14_00	60	24.7	homemade	25'C	7-10	03_08_20	20.97341262880032
1410	794	re1_3	NA	wMel	1	ff	14_00	60	24.7	homemade	25'C	7-10	03_08_20	23.717748181071048
1468	860	re1_3	NA	wMel	1	ff	14_00	60	24.7	homemade	25'C	7-10	03_08_20	23.969544616474064
