X	Y	id	T	genotype	slab_lane	replica	time	humidity	ambient_temp	food	rearing_Temp	Age	exp_date	TempEst
328	1096	re1_gfr	NA	rif_treated	2	c	12_20	57	25.8	homemade	25'C	7-10	29_07_20	17.148915626338933
338	1086	re1_gfr	NA	rif_treated	2	c	12_20	57	25.8	homemade	25'C	7-10	29_07_20	17.20352969638124
348	1078	re1_gfr	NA	rif_treated	2	c	12_20	57	25.8	homemade	25'C	7-10	29_07_20	17.25769890311471
356	1078	re1_gfr	NA	rif_treated	2	c	12_20	57	25.8	homemade	25'C	7-10	29_07_20	17.29961070591321
362	1094	re1_gfr	NA	rif_treated	2	c	12_20	57	25.8	homemade	25'C	7-10	29_07_20	17.32748565154139
348	1134	re1_gfr	NA	rif_treated	2	c	12_20	57	25.8	homemade	25'C	7-10	29_07_20	17.24524273046728
314	1148	re1_gfr	NA	rif_treated	2	c	12_20	57	25.8	homemade	25'C	7-10	29_07_20	17.0640035254118
370	1124	re1_gfr	NA	rif_treated	2	c	12_20	57	25.8	homemade	25'C	7-10	29_07_20	17.362724504707337
396	1100	re1_gfr	NA	rif_treated	2	c	12_20	57	25.8	homemade	25'C	7-10	29_07_20	17.5042762235085
406	1092	re1_gfr	NA	rif_treated	2	c	12_20	57	25.8	homemade	25'C	7-10	29_07_20	17.558445430241974
412	1114	re1_gfr	NA	rif_treated	2	c	12_20	57	25.8	homemade	25'C	7-10	29_07_20	17.584985785943644
410	1128	re1_gfr	NA	rif_treated	2	c	12_20	57	25.8	homemade	25'C	7-10	29_07_20	17.57139379208216
422	1132	re1_gfr	NA	rif_treated	2	c	12_20	57	25.8	homemade	25'C	7-10	29_07_20	17.633371769662237
430	1132	re1_gfr	NA	rif_treated	2	c	12_20	57	25.8	homemade	25'C	7-10	29_07_20	17.675283572460735
434	1112	re1_gfr	NA	rif_treated	2	c	12_20	57	25.8	homemade	25'C	7-10	29_07_20	17.700688106948352
460	1110	re1_gfr	NA	rif_treated	2	c	12_20	57	25.8	homemade	25'C	7-10	29_07_20	17.83734632935231
430	1074	re1_gfr	NA	rif_treated	2	c	12_20	57	25.8	homemade	25'C	7-10	29_07_20	17.688184608417004
480	1088	re1_gfr	NA	rif_treated	2	c	12_20	57	25.8	homemade	25'C	7-10	29_07_20	17.947019332745764
514	1104	re1_gfr	NA	rif_treated	2	c	12_20	57	25.8	homemade	25'C	7-10	29_07_20	18.121585588168692
534	1098	re1_gfr	NA	rif_treated	2	c	12_20	57	25.8	homemade	25'C	7-10	29_07_20	18.22769968509145
564	1088	re1_gfr	NA	rif_treated	2	c	12_20	57	25.8	homemade	25'C	7-10	29_07_20	18.38709326213001
528	1130	re1_gfr	NA	rif_treated	2	c	12_20	57	25.8	homemade	25'C	7-10	29_07_20	18.18914802005119
636	1086	re1_gfr	NA	rif_treated	2	c	12_20	57	25.8	homemade	25'C	7-10	29_07_20	18.76474435062534
704	1084	re1_gfr	NA	rif_treated	2	c	12_20	57	25.8	homemade	25'C	7-10	29_07_20	19.121439537721418
