X	Y	id	T	genotype	slab_lane	replica	time	humidity	ambient_temp	food	rearing_Temp	Age	exp_date	TempEst
306	696	re10	NA	wMelCS	3	b	12_20	57	25.8	homemade	25'C	7-10	29_07_20	17.168518642158023
316	694	re10	NA	wMelCS	3	b	12_20	57	25.8	homemade	25'C	7-10	29_07_20	17.22097525883691
312	726	re10	NA	wMelCS	3	b	12_20	57	25.8	homemade	25'C	7-10	29_07_20	17.196329571788496
336	740	re10	NA	wMelCS	3	b	12_20	57	25.8	homemade	25'C	7-10	29_07_20	17.32001823518048
336	684	re10	NA	wMelCS	3	b	12_20	57	25.8	homemade	25'C	7-10	29_07_20	17.326592923036383
370	728	re10	NA	wMelCS	3	b	12_20	57	25.8	homemade	25'C	7-10	29_07_20	17.498981238618168
422	728	re10	NA	wMelCS	3	b	12_20	57	25.8	homemade	25'C	7-10	29_07_20	17.77053463188942
398	672	re10	NA	wMelCS	3	b	12_20	57	25.8	homemade	25'C	7-10	29_07_20	17.65177698438936
434	674	re10	NA	wMelCS	3	b	12_20	57	25.8	homemade	25'C	7-10	29_07_20	17.839540677142736
478	678	re10	NA	wMelCS	3	b	12_20	57	25.8	homemade	25'C	7-10	29_07_20	18.068847004734195
502	702	re10	NA	wMelCS	3	b	12_20	57	25.8	homemade	25'C	7-10	29_07_20	18.19136161672334
562	706	re10	NA	wMelCS	3	b	12_20	57	25.8	homemade	25'C	7-10	29_07_20	18.50422283455211
634	672	re10	NA	wMelCS	3	b	12_20	57	25.8	homemade	25'C	7-10	29_07_20	18.884211615389653
672	676	re10	NA	wMelCS	3	b	12_20	57	25.8	homemade	25'C	7-10	29_07_20	19.08218485914212
804	670	re10	NA	wMelCS	3	b	12_20	57	25.8	homemade	25'C	7-10	29_07_20	19.772217134441618
822	684	re10	NA	wMelCS	3	b	12_20	57	25.8	homemade	25'C	7-10	29_07_20	19.86457271399461
920	668	re10	NA	wMelCS	3	b	12_20	57	25.8	homemade	25'C	7-10	29_07_20	20.378224898942666
1236	650	re10	NA	wMelCS	3	b	12_20	57	25.8	homemade	25'C	7-10	29_07_20	22.03054727365461
1294	668	re10	NA	wMelCS	3	b	12_20	57	25.8	homemade	25'C	7-10	29_07_20	22.331320458239738
1300	644	re10	NA	wMelCS	3	b	12_20	57	25.8	homemade	25'C	7-10	29_07_20	22.365471265445542
1912	638	re10	NA	wMelCS	3	b	12_20	57	25.8	homemade	25'C	7-10	29_07_20	25.562150247864277
1916	658	re10	NA	wMelCS	3	b	12_20	57	25.8	homemade	25'C	7-10	29_07_20	25.580690867617925
1958	658	re10	NA	wMelCS	3	b	12_20	57	25.8	homemade	25'C	7-10	29_07_20	25.800022454490858
2162	654	re10	NA	wMelCS	3	b	12_20	57	25.8	homemade	25'C	7-10	29_07_20	26.86581692557767
2180	672	re10	NA	wMelCS	3	b	12_20	57	25.8	homemade	25'C	7-10	29_07_20	26.957702884569528
2208	672	re10	NA	wMelCS	3	b	12_20	57	25.8	homemade	25'C	7-10	29_07_20	27.10392394248482
2218	658	re10	NA	wMelCS	3	b	12_20	57	25.8	homemade	25'C	7-10	29_07_20	27.15778942084711
2250	664	re10	NA	wMelCS	3	b	12_20	57	25.8	homemade	25'C	7-10	29_07_20	27.324194770480023
128	702	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	16.490516108528286
132	676	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	16.513056478521168
142	654	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	16.564695054662003
154	652	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	16.62398736203729
166	676	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	16.68043034220617
152	708	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	16.608004828199476
176	694	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	16.727685338029442
190	706	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	16.79528891368682
200	698	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	16.845393236716507
200	682	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	16.847146668843532
184	668	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	16.769916750808793
174	646	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	16.723100113017274
196	644	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	16.831620027358742
198	654	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	16.840369653672585
212	672	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	16.90731569228233
216	658	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	16.928540988179947
228	672	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	16.986079863428213
238	658	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	17.036841723505532
260	654	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	17.145580816862875
272	660	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	17.203996408174653
286	672	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	17.27159998383203
284	690	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	17.259781851295894
278	702	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	17.228930213020924
284	648	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	17.26438461062933
290	642	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	17.29457871185667
314	648	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	17.41206743152786
350	648	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	17.58928681660609
354	678	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	17.60569017415439
314	690	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	17.407464672194422
328	718	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	17.473314815724777
416	682	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	17.910462979312925
456	678	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	18.107811765209384
958	614	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	20.586051363419493
1328	604	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	22.408568716247384
1620	654	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	23.840535364262767
1672	648	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	24.097176457534513
1980	614	re10	NA	wMelCS	3	n	13_00	44	24.3	homemade	25'C	7-10	30_07_20	25.617112795362647
154	522	re10	NA	wMelCS	3	dd	14_00	60	24.7	homemade	25'C	7-10	03_08_20	17.905414427802484
148	494	re10	NA	wMelCS	3	dd	14_00	60	24.7	homemade	25'C	7-10	03_08_20	17.883656178329044
162	494	re10	NA	wMelCS	3	dd	14_00	60	24.7	homemade	25'C	7-10	03_08_20	17.94905891645214
152	474	re10	NA	wMelCS	3	dd	14_00	60	24.7	homemade	25'C	7-10	03_08_20	17.906822314533116
174	482	re10	NA	wMelCS	3	dd	14_00	60	24.7	homemade	25'C	7-10	03_08_20	18.007806190030426
180	474	re10	NA	wMelCS	3	dd	14_00	60	24.7	homemade	25'C	7-10	03_08_20	18.037627790779315
188	494	re10	NA	wMelCS	3	dd	14_00	60	24.7	homemade	25'C	7-10	03_08_20	18.07052114439504
174	518	re10	NA	wMelCS	3	dd	14_00	60	24.7	homemade	25'C	7-10	03_08_20	17.999742838754972
