X	Y	id	T	genotype	slab_lane	replica	time	humidity	ambient_temp	food	rearing_Temp	Age	exp_date	TempEst
304	752	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.02211963916557
296	732	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	17.99013475984643
294	718	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	17.983597309850456
304	712	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.02860306064918
330	706	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.144061991569792
336	738	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.16529519692861
350	708	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.231804295647972
482	694	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.815312229172818
664	722	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	19.612178758020782
662	706	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	19.605965479098987
684	704	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	19.703162772840766
718	714	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	19.85125492522888
742	732	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	19.954017155744086
792	728	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	20.174831685773352
802	696	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	20.224051660536418
834	680	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	20.36755138937364
864	700	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	20.496409391360377
956	716	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	20.898921808467797
1014	668	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	21.162094692189974
1440	654	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	23.040179810454536
1766	704	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	24.467559078583513
1786	684	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	24.558867264477676
1806	686	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	24.64660956855586
1838	676	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	24.789136784170537
1828	654	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	24.74866942841034
1934	648	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	25.216394259940397
1992	692	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	25.464655274250276
2280	644	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	26.74059262222461
2384	686	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	27.191730700459097
2402	682	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	27.271638870244583
2372	634	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	27.147319263296374
2426	638	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	27.38445040405939
2480	644	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	27.62125737374822
2490	640	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	27.665938953472768
2520	646	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	27.797066152978765
2536	668	ak7_gfr	NA	rif_treated	3	f	15_00	54	25.4	homemade	25'C	7-10	29_07_20	27.863953451284672
144	604	ak7_gfr	NA	rif_treated	4	i	10_30	53	23.6	homemade	25'C	7-10	30_07_20	17.806981642674184
144	590	ak7_gfr	NA	rif_treated	4	i	10_30	53	23.6	homemade	25'C	7-10	30_07_20	17.80747782736597
134	588	ak7_gfr	NA	rif_treated	4	i	10_30	53	23.6	homemade	25'C	7-10	30_07_20	17.76194697493373
134	578	ak7_gfr	NA	rif_treated	4	i	10_30	53	23.6	homemade	25'C	7-10	30_07_20	17.76230139257072
138	566	ak7_gfr	NA	rif_treated	4	i	10_30	53	23.6	homemade	25'C	7-10	30_07_20	17.780967388118967
150	566	ak7_gfr	NA	rif_treated	4	i	10_30	53	23.6	homemade	25'C	7-10	30_07_20	17.835689471270538
184	564	ak7_gfr	NA	rif_treated	4	i	10_30	53	23.6	homemade	25'C	7-10	30_07_20	17.990806257060726
180	592	ak7_gfr	NA	rif_treated	4	i	10_30	53	23.6	homemade	25'C	7-10	30_07_20	17.97157319329329
164	622	ak7_gfr	NA	rif_treated	4	i	10_30	53	23.6	homemade	25'C	7-10	30_07_20	17.897547162846884
190	624	ak7_gfr	NA	rif_treated	4	i	10_30	53	23.6	homemade	25'C	7-10	30_07_20	18.016040792814557
232	622	ak7_gfr	NA	rif_treated	4	i	10_30	53	23.6	homemade	25'C	7-10	30_07_20	18.20763896737246
220	620	ak7_gfr	NA	rif_treated	4	i	10_30	53	23.6	homemade	25'C	7-10	30_07_20	18.152987767748286
214	606	ak7_gfr	NA	rif_treated	4	i	10_30	53	23.6	homemade	25'C	7-10	30_07_20	18.12612291086429
236	606	ak7_gfr	NA	rif_treated	4	i	10_30	53	23.6	homemade	25'C	7-10	30_07_20	18.226446729975503
220	582	ak7_gfr	NA	rif_treated	4	i	10_30	53	23.6	homemade	25'C	7-10	30_07_20	18.154334554768855
240	580	ak7_gfr	NA	rif_treated	4	i	10_30	53	23.6	homemade	25'C	7-10	30_07_20	18.24560891021554
252	560	ak7_gfr	NA	rif_treated	4	i	10_30	53	23.6	homemade	25'C	7-10	30_07_20	18.3010398286411
274	588	ak7_gfr	NA	rif_treated	4	i	10_30	53	23.6	homemade	25'C	7-10	30_07_20	18.400371278368734
504	542	ak7_gfr	NA	rif_treated	4	i	10_30	53	23.6	homemade	25'C	7-10	30_07_20	19.4508415265707
528	544	ak7_gfr	NA	rif_treated	4	i	10_30	53	23.6	homemade	25'C	7-10	30_07_20	19.560214809346444
532	604	ak7_gfr	NA	rif_treated	4	i	10_30	53	23.6	homemade	25'C	7-10	30_07_20	19.576328997908348
794	554	ak7_gfr	NA	rif_treated	4	i	10_30	53	23.6	homemade	25'C	7-10	30_07_20	20.772866568235965
2286	578	ak7_gfr	NA	rif_treated	4	i	10_30	53	23.6	homemade	25'C	7-10	30_07_20	27.575794971085983
216	570	ak7_gfr	NA	rif_treated	4	i	10_30	53	23.6	homemade	25'C	7-10	30_07_20	18.136519161549387
238	572	ak7_gfr	NA	rif_treated	4	i	10_30	53	23.6	homemade	25'C	7-10	30_07_20	18.236772097133205
184	620	ak7_gfr	NA	rif_treated	4	i	10_30	53	23.6	homemade	25'C	7-10	30_07_20	17.98882151829357
208	624	ak7_gfr	NA	rif_treated	4	i	10_30	53	23.6	homemade	25'C	7-10	30_07_20	18.098123917541916
114	616	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.231498841404893
112	570	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.22690944883923
122	584	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.270894374192654
130	578	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.30775755963943
132	584	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.316242871191225
138	606	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.341309213947994
140	616	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.349404933601175
156	572	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.426248039683635
160	566	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.44497182633098
194	562	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.59954630802474
210	566	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.67171431132384
192	582	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.58852864913196
192	590	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.58774946533473
180	602	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.532162493240605
282	584	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	17.99647032616979
324	584	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	18.18693401356379
368	558	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	18.388999747698488
430	570	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	18.66899165339379
536	564	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	19.15027010942656
830	554	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	20.48448990093108
826	528	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	20.46888284947264
1052	556	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	21.491031738350053
1586	532	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	23.914979029465425
1646	530	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	24.18726480740616
1768	514	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	24.742074838383175
1812	496	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	24.943361388720646
1808	518	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	24.92307923447885
1850	536	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	25.111789758329085
1934	534	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	25.492911929066388
1962	506	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	25.62261486395268
2034	528	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	25.94698128690002
2070	522	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	26.110820263942795
2058	568	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	26.051921760710457
2134	542	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	26.399102685240585
2250	522	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	26.927093209917075
2256	568	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	26.949822001282165
2286	548	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	27.087815451770943
2320	542	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	27.242584729414002
2332	562	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	27.295054966319224
2334	520	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	27.308215380654374
2352	512	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	27.39062185904903
2384	516	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	27.535347457545843
2382	538	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	27.52413500270376
2384	550	ak7_gfr	NA	rif_treated	4	u	13_30	50	24.1	homemade	25'C	7-10	31_07_20	27.532035926407634
162	1230	ak7_gfr	NA	rif_treated	1	bb	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.505048730871778
148	1244	ak7_gfr	NA	rif_treated	1	bb	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.431566720352414
178	1244	ak7_gfr	NA	rif_treated	1	bb	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.578456115110992
154	1194	ak7_gfr	NA	rif_treated	1	bb	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.478564693228034
164	1196	ak7_gfr	NA	rif_treated	1	bb	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.52682302105727
170	1202	ak7_gfr	NA	rif_treated	1	bb	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.55408648873812
176	1182	ak7_gfr	NA	rif_treated	1	bb	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.590512405259396
196	1180	ak7_gfr	NA	rif_treated	1	bb	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.68914347218874
198	1196	ak7_gfr	NA	rif_treated	1	bb	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.693297668450327
208	1210	ak7_gfr	NA	rif_treated	1	bb	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.737327173737825
218	1206	ak7_gfr	NA	rif_treated	1	bb	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.78769991283793
212	1218	ak7_gfr	NA	rif_treated	1	bb	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.75409321134448
224	1224	ak7_gfr	NA	rif_treated	1	bb	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.810734557977042
218	1226	ak7_gfr	NA	rif_treated	1	bb	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.78065187526837
214	1236	ak7_gfr	NA	rif_treated	1	bb	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.75754260384911
226	1236	ak7_gfr	NA	rif_treated	1	bb	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.816298361752544
258	1228	ak7_gfr	NA	rif_treated	1	bb	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.975799597856184
268	1226	ak7_gfr	NA	rif_treated	1	bb	16_00	47	24.8	homemade	25'C	7-10	31_07_20	18.025467533199333
278	1230	ak7_gfr	NA	rif_treated	1	bb	16_00	47	24.8	homemade	25'C	7-10	31_07_20	18.073021057271614
252	1214	ak7_gfr	NA	rif_treated	1	bb	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.95135534520316
264	1200	ak7_gfr	NA	rif_treated	1	bb	16_00	47	24.8	homemade	25'C	7-10	31_07_20	18.015044729405286
276	1208	ak7_gfr	NA	rif_treated	1	bb	16_00	47	24.8	homemade	25'C	7-10	31_07_20	18.070981272280893
290	1210	ak7_gfr	NA	rif_treated	1	bb	16_00	47	24.8	homemade	25'C	7-10	31_07_20	18.138824852744605
312	1206	ak7_gfr	NA	rif_treated	1	bb	16_00	47	24.8	homemade	25'C	7-10	31_07_20	18.247953349748144
300	1186	ak7_gfr	NA	rif_treated	1	bb	16_00	47	24.8	homemade	25'C	7-10	31_07_20	18.196245629414275
280	1184	ak7_gfr	NA	rif_treated	1	bb	16_00	47	24.8	homemade	25'C	7-10	31_07_20	18.099024169998845
290	1172	ak7_gfr	NA	rif_treated	1	bb	16_00	47	24.8	homemade	25'C	7-10	31_07_20	18.152216124126774
258	1170	ak7_gfr	NA	rif_treated	1	bb	16_00	47	24.8	homemade	25'C	7-10	31_07_20	17.996238906807914
312	1178	ak7_gfr	NA	rif_treated	1	bb	16_00	47	24.8	homemade	25'C	7-10	31_07_20	18.25782060234553
332	1180	ak7_gfr	NA	rif_treated	1	bb	16_00	47	24.8	homemade	25'C	7-10	31_07_20	18.355042061760958
344	1190	ak7_gfr	NA	rif_treated	1	bb	16_00	47	24.8	homemade	25'C	7-10	31_07_20	18.410273800879608
