X	Y	id	T	genotype	slab_lane	replica	time	humidity	ambient_temp	food	rearing_Temp	Age	exp_date	TempEst
302	626	ak7	NA	wMel	4	e	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.061269454919437
310	602	ak7	NA	wMel	4	e	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.09979073988183
338	612	ak7	NA	wMel	4	e	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.22251100042348
352	646	ak7	NA	wMel	4	e	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.28013684486479
346	604	ak7	NA	wMel	4	e	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.258971989755793
348	594	ak7	NA	wMel	4	e	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.26911738490391
356	584	ak7	NA	wMel	4	e	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.30583591118998
376	614	ak7	NA	wMel	4	e	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.390549960676765
384	594	ak7	NA	wMel	4	e	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.428556171731636
408	598	ak7	NA	wMel	4	e	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.53433362237593
432	588	ak7	NA	wMel	4	e	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.641913831696545
472	620	ak7	NA	wMel	4	e	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.814947448022746
492	584	ak7	NA	wMel	4	e	15_00	54	25.4	homemade	25'C	7-10	29_07_20	18.908160216983607
528	604	ak7	NA	wMel	4	e	15_00	54	25.4	homemade	25'C	7-10	29_07_20	19.06502363427373
542	588	ak7	NA	wMel	4	e	15_00	54	25.4	homemade	25'C	7-10	29_07_20	19.129087902559036
664	632	ak7	NA	wMel	4	e	15_00	54	25.4	homemade	25'C	7-10	29_07_20	19.663742422714716
752	598	ak7	NA	wMel	4	e	15_00	54	25.4	homemade	25'C	7-10	29_07_20	20.057859807618627
954	606	ak7	NA	wMel	4	e	15_00	54	25.4	homemade	25'C	7-10	29_07_20	20.951458408114704
1038	558	ak7	NA	wMel	4	e	15_00	54	25.4	homemade	25'C	7-10	29_07_20	21.329663130936297
1140	562	ak7	NA	wMel	4	e	15_00	54	25.4	homemade	25'C	7-10	29_07_20	21.780891286373993
1276	604	ak7	NA	wMel	4	e	15_00	54	25.4	homemade	25'C	7-10	29_07_20	22.37780731613866
1568	526	ak7	NA	wMel	4	e	15_00	54	25.4	homemade	25'C	7-10	29_07_20	23.681076972715726
1604	528	ak7	NA	wMel	4	e	15_00	54	25.4	homemade	25'C	7-10	29_07_20	23.84025822258969
1726	524	ak7	NA	wMel	4	e	15_00	54	25.4	homemade	25'C	7-10	29_07_20	24.381093629635608
1748	540	ak7	NA	wMel	4	e	15_00	54	25.4	homemade	25'C	7-10	29_07_20	24.476468148178025
1756	530	ak7	NA	wMel	4	e	15_00	54	25.4	homemade	25'C	7-10	29_07_20	24.513186674464094
1808	586	ak7	NA	wMel	4	e	15_00	54	25.4	homemade	25'C	7-10	29_07_20	24.736276109621087
1846	554	ak7	NA	wMel	4	e	15_00	54	25.4	homemade	25'C	7-10	29_07_20	24.908693198088287
1870	536	ak7	NA	wMel	4	e	15_00	54	25.4	homemade	25'C	7-10	29_07_20	25.017303555223943
1984	576	ak7	NA	wMel	4	e	15_00	54	25.4	homemade	25'C	7-10	29_07_20	25.51704230776987
